地名,センター,燃やす,資源,プラ容器包装,燃やさない
宝来西町南,くりりんセンター,火 土,月,木,水1:2 3 4 8 9 水3:2 3 4 8 9 水5:4 9 水2:1 5 6 7 10 11 12 水4:1 5 6 7 10 11 12
宝来仲町南,くりりんセンター,火 土,月,木,水1:2 3 4 8 9 水3:2 3 4 8 9 水5:4 9 水2:1 5 6 7 10 11 12 水4:1 5 6 7 10 11 12
宝来東町南,くりりんセンター,火 土,月,木,水1:2 3 4 8 9 水3:2 3 4 8 9 水5:4 9 水2:1 5 6 7 10 11 12 水4:1 5 6 7 10 11 12
ひびき野,くりりんセンター,火 土,月,木,水1:2 3 4 8 9 水3:2 3 4 8 9 水5:4 9 水2:1 5 6 7 10 11 12 水4:1 5 6 7 10 11 12
木野大通東１〜５丁目,くりりんセンター,火 土,月,木,水1:2 3 4 8 9 水3:2 3 4 8 9 水5:4 9 水2:1 5 6 7 10 11 12 水4:1 5 6 7 10 11 12
木野大通西１〜５丁目,くりりんセンター,火 土,月,木,水1:2 3 4 8 9 水3:2 3 4 8 9 水5:4 9 水2:1 5 6 7 10 11 12 水4:1 5 6 7 10 11 12
木野東通１〜５丁目,くりりんセンター,火 土,月,木,水1:2 3 4 8 9 水3:2 3 4 8 9 水5:4 9 水2:1 5 6 7 10 11 12 水4:1 5 6 7 10 11 12
木野西通４〜５丁目,くりりんセンター,火 土,月,木,水1:2 3 4 8 9 水3:2 3 4 8 9 水5:4 9 水2:1 5 6 7 10 11 12 水4:1 5 6 7 10 11 12
木野公園下町,くりりんセンター,火 土,月,木,水1:2 3 4 8 9 水3:2 3 4 8 9 水5:4 9 水2:1 5 6 7 10 11 12 水4:1 5 6 7 10 11 12
中鈴蘭,くりりんセンター,月 金,木,水,火1:4 5 6 10 11 火3:4 5 6 10 11 火5:6 火2:1 2 3 7 8 9 12 火4:1 2 3 7 8 9 12
南鈴蘭,くりりんセンター,月 金,木,水,火1:4 5 6 10 11 火3:4 5 6 10 11 火5:6 火2:1 2 3 7 8 9 12 火4:1 2 3 7 8 9 12
